Ravenswood Heights Primary,2013,391,397,380,380,397
Ravenswood Heights Primary,2014,349,346,338,317,352
East Tamar Primary,2008,,,,,
East Tamar Primary,2009,,,,,
East Tamar Primary,2010,,,,,
East Tamar Primary,2011,,,,,
East Tamar Primary,2012,,,,,
East Tamar Primary,2013,,,,,
East Tamar Primary,2014,382,358,352,368,345
Trevallyn Primary,2008,400,433,399,406,415
Trevallyn Primary,2009,425,426,411,436,422
Trevallyn Primary,2010,449,435,407,416,424
Trevallyn Primary,2011,434,402,403,413,406
Trevallyn Primary,2012,441,437,409,428,425
Trevallyn Primary,2013,437,419,409,442,424
Trevallyn Primary,2014,468,438,434,447,442
Norwood Primary,2008,416,434,417,422,401
Norwood Primary,2009,407,418,425,440,405
Norwood Primary,2010,417,430,394,414,395
Norwood Primary,2011,421,424,407,422,404
Norwood Primary,2012,438,430,412,411,403
Norwood Primary,2013,421,409,413,417,387
Norwood Primary,2014,401,381,376,395,397
Punchbowl Primary,2008,429,444,436,418,420
Punchbowl Primary,2009,391,416,415,422,395
Punchbowl Primary,2010,479,421,408,458,440
Punchbowl Primary,2011,465,450,407,434,437
Punchbowl Primary,2012,437,428,391,419,386
Punchbowl Primary,2013,449,454,424,461,419
Punchbowl Primary,2014,426,414,406,442,418
Larmenier Catholic School,2008,411,404,390,412,419
Larmenier Catholic School,2009,442,417,398,440,429
Larmenier Catholic School,2010,404,419,401,396,336
Larmenier Catholic School,2011,378,356,374,375,380
Larmenier Catholic School,2012,439,429,442,461,394
Larmenier Catholic School,2013,383,402,388,404,366
Larmenier Catholic School,2014,410,400,406,418,389
The Launceston Preparatory School,2008,466,433,415,464,467
The Launceston Preparatory School,2009,458,456,448,469,445
The Launceston Preparatory School,2010,489,451,438,459,474
The Launceston Preparatory School,2011,466,411,426,471,465
The Launceston Preparatory School,2012,525,476,467,521,471
The Launceston Preparatory School,2013,446,436,409,442,412
The Launceston Preparatory School,2014,474,416,404,458,442
Launceston Christian School,2008,409,414,404,410,397
Launceston Christian School,2009,431,432,439,450,419
Launceston Christian School,2010,432,436,417,435,432
Launceston Christian School,2011,405,420,400,422,419
Launceston Christian School,2012,448,435,416,434,432
Launceston Christian School,2013,444,409,404,467,433
Launceston Christian School,2014,432,419,410,436,428
St Thomas More's Catholic School,2008,437,438,444,476,455
St Thomas More's Catholic School,2009,446,449,445,472,448
St Thomas More's Catholic School,2010,456,455,437,470,426
St Thomas More's Catholic School,2011,451,435,433,446,426
St Thomas More's Catholic School,2012,472,458,452,478,423
St Thomas More's Catholic School,2013,437,445,423,427,396
St Thomas More's Catholic School,2014,438,401,416,433,394
Scotch Oakburn Primary Campus,2008,460,460,437,466,463
Scotch Oakburn Primary Campus,2009,450,424,420,457,422
Scotch Oakburn Primary Campus,2010,467,441,436,490,465
Scotch Oakburn Primary Campus,2011,478,447,435,466,442
Scotch Oakburn Primary Campus,2012,483,457,470,496,466
Scotch Oakburn Primary Campus,2013,479,459,448,491,462
Scotch Oakburn Primary Campus,2014,467,445,440,466,453
Waverley Primary,2008,346,371,331,331,354
Waverley Primary,2009,383,412,382,400,370
Waverley Primary,2010,381,381,364,368,342
Waverley Primary,2011,348,351,346,362,331
Waverley Primary,2012,377,403,370,363,362
Waverley Primary,2013,363,370,356,319,340
Waverley Primary,2014,353,334,337,334,358
St Anthony's Catholic School,2008,431,416,410,419,419
St Anthony's Catholic School,2009,400,412,390,420,392
St Anthony's Catholic School,2010,430,425,399,466,406
St Anthony's Catholic School,2011,439,421,410,441,416
St Anthony's Catholic School,2012,443,423,402,456,409
St Anthony's Catholic School,2013,402,423,397,412,401
St Anthony's Catholic School,2014,439,413,403,442,396
LC Grammar Primary Campus,2008,465,448,446,464,460
LC Grammar Primary Campus,2009,421,414,407,424,443
LC Grammar Primary Campus,2010,497,441,441,480,471
LC Grammar Primary Campus,2011,472,436,419,462,422
LC Grammar Primary Campus,2012,492,465,461,517,471
LC Grammar Primary Campus,2013,457,466,428,446,409
LC Grammar Primary Campus,2014,453,419,409,438,445
