St Thomas More's Catholic School,2009,1032,107,103
St Thomas More's Catholic School,2008,1032,101,92
Summerdale Primary,2014,957,263,266
Summerdale Primary,2013,961,280,259
Summerdale Primary,2012,946,286,287
Summerdale Primary,2011,949,308,300
Summerdale Primary,2010,949,305,314
Summerdale Primary,2009,1004,316,322
Summerdale Primary,2008,1004,337,363
The Launceston Preparatory School,2014,1117,56,59
The Launceston Preparatory School,2013,1104,49,54
The Launceston Preparatory School,2012,1111,49,49
The Launceston Preparatory School,2011,1123,49,57
The Launceston Preparatory School,2010,1127,50,64
The Launceston Preparatory School,2009,1089,52,62
The Launceston Preparatory School,2008,1089,53,58
Trevallyn Primary,2014,1068,244,238
Trevallyn Primary,2013,1052,222,234
Trevallyn Primary,2012,1060,208,221
Trevallyn Primary,2011,1069,206,224
Trevallyn Primary,2010,1073,204,224
Trevallyn Primary,2009,1100,184,218
Trevallyn Primary,2008,1100,196,204
Waverley Primary,2014,901,79,74
Waverley Primary,2013,898,78,76
Waverley Primary,2012,901,76,70
Waverley Primary,2011,901,84,71
Waverley Primary,2010,894,85,85
Waverley Primary,2009,858,92,92
Waverley Primary,2008,858,92,111
West Launceston Primary,2014,1018,166,196
West Launceston Primary,2013,1027,151,189
West Launceston Primary,2012,1017,156,179
West Launceston Primary,2011,1024,163,159
West Launceston Primary,2010,1018,159,172
West Launceston Primary,2009,1051,153,174
West Launceston Primary,2008,1051,164,157
Youngtown Primary,2014,982,168,179
Youngtown Primary,2013,970,164,174
Youngtown Primary,2012,950,154,182
Youngtown Primary,2011,951,152,183
Youngtown Primary,2010,944,152,172
Youngtown Primary,2009,980,147,187
Youngtown Primary,2008,980,159,175

